life_stage,Sted,n_trips_unweighted,weighted_trips,cycling_share,car_share,utilitarian_trip_share,leisure_social_trip_share
Child/Teen (<18),1,318,343.59278297502203,0.52279489911406,0.16975424817162635,0.5124810060262539,0.43087157068902265
Child/Teen (<18),2,570,623.6435783665963,0.5369023517908901,0.19892324961047017,0.5970526902767124,0.34027010556785536
Child/Teen (<18),3,514,620.8905408500466,0.4820833183852368,0.27740746142847694,0.5281095442073002,0.4140875120941903
Child/Teen (<18),4,532,617.8320345242643,0.543165410308448,0.19855064132719538,0.4901879082443422,0.4680489392281139
Child/Teen (<18),5,9,8.529972470551305,0.06972113866443765,0.4017271137116498,0.9302788613355624,0.06972113866443765
Family w/ Kids,1,584,606.0983992717918,0.25484398618055626,0.4040255692622864,0.44005103823767977,0.3059140983772865
Family w/ Kids,2,897,905.3518883636921,0.2735900241324335,0.3981499131629885,0.404632428686465,0.33110635793736914
Family w/ Kids,3,818,903.7662802765317,0.28661670967430325,0.4163438262088311,0.42841321486545275,0.3435954862574018
Family w/ Kids,4,950,1030.7074860481023,0.22640276768211956,0.4689621023324,0.4061169041165243,0.3496582373734211
Family w/ Kids,5,20,20.49141341409547,0.14532773768051202,0.5293834483761931,0.2924834490941389,0.543220011550212
Mid-life No Kids (30-54),1,490,468.9401465891598,0.3005920070988242,0.3329778234262406,0.5391119178233066,0.3678517566333316
Mid-life No Kids (30-54),2,577,563.7566880213967,0.18598176123068783,0.3543838491156801,0.5079584130342203,0.38642169903179713
Mid-life No Kids (30-54),3,405,418.64502808983605,0.1803439299895577,0.4526600231180213,0.49353045159334047,0.39201555757174444
Mid-life No Kids (30-54),4,316,321.19441575625626,0.17836016182859787,0.5727703964793457,0.46987684713103806,0.40375969653511823
Mid-life No Kids (30-54),5,2,1.1238650030905584,0.0,0.0,0.0,1.0
Older Adult (55-69),1,475,498.19078040578063,0.322714129281218,0.34438087177380994,0.5502383715070909,0.37338679003540876
Older Adult (55-69),2,881,861.0725330296106,0.27941117754109424,0.3443543910108546,0.46208997260650253,0.43051727074841095
Older Adult (55-69),3,853,836.4018162482915,0.2947980211860851,0.36393163235555925,0.4798477076906977,0.4386295031806791
Older Adult (55-69),4,1038,1037.1523273084995,0.30865563520925093,0.35750408292874963,0.492559300254596,0.42767679497316197
Older Adult (55-69),5,26,24.39140095527185,0.3613719286089353,0.3551584347882575,0.520745930525256,0.47925406947474414
Senior (70+),1,392,287.17789658195403,0.3110386400281633,0.3123850832975057,0.4800954855579309,0.42677972219029764
Senior (70+),2,659,516.8053946557742,0.3098246491209845,0.32091425267601875,0.5367028121627376,0.36586890583244336
Senior (70+),3,777,618.3024280445034,0.3404214464338116,0.29265305053712964,0.5019183637366045,0.4085215822486834
Senior (70+),4,595,477.4649218840483,0.3104731699922962,0.3195352628215638,0.4878100840201763,0.42212608861183737
Senior (70+),5,8,6.247306937311647,0.4293344785006216,0.1788550013540756,0.0,0.8211449986459244
Young Adult (18-29),1,582,592.3330173170972,0.4437933999855182,0.25151632618039965,0.5293771220239419,0.4090763571442664
Young Adult (18-29),2,500,486.2169822648763,0.3138657147410415,0.2902065085931176,0.4924774931232199,0.4491219929028431
Young Adult (18-29),3,385,430.7036272702016,0.34125419362403997,0.39325460159080705,0.42985816655413533,0.4903206190562899
Young Adult (18-29),4,448,492.3907038459927,0.2556643411401477,0.48841576345239385,0.41342712255540787,0.49352242699966214
Young Adult (18-29),5,16,14.984731918235553,0.19117004819371325,0.7827488425192903,0.700033098413534,0.07536965861271935
