life_stage,dominant_type,n_trips_unweighted,weighted_trips_sum,mean_pop_weighted_access,trip_weighted_cycling_share,reliable
Child/Teen (<18),High-density urban gemeente,318,343.59278297502203,339.6811347255743,0.52279489911406,True
Child/Teen (<18),Mixed gemeente,1580,1812.1084038317633,108.90550526174354,0.5170177974688166,True
Child/Teen (<18),VINEX-like gemeente,45,58.78772237969524,50.16170830059983,0.5688958347283269,False
Family w/ Kids,High-density urban gemeente,584,606.0983992717918,325.87799182149547,0.25484398618055626,True
Family w/ Kids,Mixed gemeente,2550,2726.2642043078695,110.49756839961384,0.2543779075413624,True
Family w/ Kids,VINEX-like gemeente,134,132.62393747357876,42.181339220901066,0.3736985801047217,True
Mid-life No Kids (30-54),High-density urban gemeente,490,468.9401465891598,324.09554886300486,0.3005920070988242,True
Mid-life No Kids (30-54),Mixed gemeente,1268,1274.8141922548348,122.74807180242153,0.1800461381742156,True
Mid-life No Kids (30-54),VINEX-like gemeente,32,29.90580461574474,42.19880991718202,0.2712338708787267,False
Older Adult (55-69),High-density urban gemeente,475,498.19078040578063,336.315916300487,0.322714129281218,True
Older Adult (55-69),Mixed gemeente,2613,2565.065985988188,108.86570461240207,0.29972335794848737,True
Older Adult (55-69),VINEX-like gemeente,185,193.952091553485,42.939598124096236,0.24382298581456732,True
Senior (70+),High-density urban gemeente,392,287.177896581954,316.88902518205447,0.31103864002816334,True
Senior (70+),Mixed gemeente,1954,1548.5422966885099,111.01235700368528,0.32628822448272393,True
Senior (70+),VINEX-like gemeente,84,69.48465010241293,45.53626352734419,0.22250191658932025,True
Young Adult (18-29),High-density urban gemeente,582,592.3330173170972,334.47434253039836,0.4437933999855183,True
Young Adult (18-29),Mixed gemeente,1314,1382.9515105636603,109.71294553396093,0.29465499773615694,True
Young Adult (18-29),VINEX-like gemeente,35,41.344534735645745,42.56089266478182,0.5041552020614832,False
